Actual,Predicted,Count,Date,accuracy
Failed,Failed,112,2025-01-31,0.775609756097561
Failed,Passed,0,2025-01-31,0.775609756097561
Failed,Passedwithwarnings,4,2025-01-31,0.775609756097561
Failed,Skipped,14,2025-01-31,0.775609756097561
Passed,Failed,4,2025-01-31,0.775609756097561
Passed,Passed,0,2025-01-31,0.775609756097561
Passed,Passedwithwarnings,0,2025-01-31,0.775609756097561
Passed,Skipped,0,2025-01-31,0.775609756097561
Passedwithwarnings,Failed,70,2025-01-31,0.775609756097561
Passedwithwarnings,Passed,0,2025-01-31,0.775609756097561
Passedwithwarnings,Passedwithwarnings,204,2025-01-31,0.775609756097561
Passedwithwarnings,Skipped,0,2025-01-31,0.775609756097561
Skipped,Failed,0,2025-01-31,0.775609756097561
Skipped,Passed,0,2025-01-31,0.775609756097561
Skipped,Passedwithwarnings,0,2025-01-31,0.775609756097561
Skipped,Skipped,2,2025-01-31,0.775609756097561
Failed,Failed,80,2025-02-01,0.8780487804878049
Failed,Passed,0,2025-02-01,0.8780487804878049
Failed,Passedwithwarnings,6,2025-02-01,0.8780487804878049
Failed,Skipped,0,2025-02-01,0.8780487804878049
Passed,Failed,0,2025-02-01,0.8780487804878049
Passed,Passed,4,2025-02-01,0.8780487804878049
Passed,Passedwithwarnings,0,2025-02-01,0.8780487804878049
Passed,Skipped,0,2025-02-01,0.8780487804878049
Passedwithwarnings,Failed,44,2025-02-01,0.8780487804878049
Passedwithwarnings,Passed,0,2025-02-01,0.8780487804878049
Passedwithwarnings,Passedwithwarnings,274,2025-02-01,0.8780487804878049
Passedwithwarnings,Skipped,0,2025-02-01,0.8780487804878049
Skipped,Failed,0,2025-02-01,0.8780487804878049
Skipped,Passed,0,2025-02-01,0.8780487804878049
Skipped,Passedwithwarnings,0,2025-02-01,0.8780487804878049
Skipped,Skipped,2,2025-02-01,0.8780487804878049
