Actual,Predicted,Count,Date,accuracy
Failed,Failed,31,2024-11-18,0.8947368421052632
Failed,Passed,0,2024-11-18,0.8947368421052632
Passed,Failed,14,2024-11-18,0.8947368421052632
Passed,Passed,88,2024-11-18,0.8947368421052632
Failed,Failed,2,2024-11-19,1.0
Failed,Passed,0,2024-11-19,1.0
Passed,Failed,0,2024-11-19,1.0
Passed,Passed,16,2024-11-19,1.0
Failed,Failed,14,2024-11-20,1.0
Failed,Passed,0,2024-11-20,1.0
Passed,Failed,0,2024-11-20,1.0
Passed,Passed,141,2024-11-20,1.0
Failed,Failed,43,2024-11-22,0.5785123966942148
Failed,Passed,0,2024-11-22,0.5785123966942148
Passed,Failed,51,2024-11-22,0.5785123966942148
Passed,Passed,27,2024-11-22,0.5785123966942148
Failed,Failed,41,2024-11-25,0.6065573770491803
Failed,Passed,0,2024-11-25,0.6065573770491803
Passed,Failed,48,2024-11-25,0.6065573770491803
Passed,Passed,33,2024-11-25,0.6065573770491803
Failed,Failed,41,2024-11-26,1.0
Failed,Passed,0,2024-11-26,1.0
Passed,Failed,0,2024-11-26,1.0
Passed,Passed,81,2024-11-26,1.0
Failed,Failed,41,2024-11-27,1.0
Failed,Passed,0,2024-11-27,1.0
Passed,Failed,0,2024-11-27,1.0
Passed,Passed,81,2024-11-27,1.0
Failed,Failed,18,2024-11-29,0.43333333333333335
Failed,Passed,0,2024-11-29,0.43333333333333335
Passed,Failed,85,2024-11-29,0.43333333333333335
Passed,Passed,47,2024-11-29,0.43333333333333335
Failed,Failed,18,2024-12-02,1.0
Failed,Passed,0,2024-12-02,1.0
Passed,Failed,0,2024-12-02,1.0
Passed,Passed,132,2024-12-02,1.0
Failed,Failed,19,2024-12-03,0.8322147651006712
Failed,Passed,0,2024-12-03,0.8322147651006712
Passed,Failed,25,2024-12-03,0.8322147651006712
Passed,Passed,105,2024-12-03,0.8322147651006712
Failed,Failed,18,2024-12-04,1.0
Failed,Passed,0,2024-12-04,1.0
Passed,Failed,0,2024-12-04,1.0
Passed,Passed,132,2024-12-04,1.0
Failed,Failed,18,2024-12-06,1.0
Failed,Passed,0,2024-12-06,1.0
Passed,Failed,0,2024-12-06,1.0
Passed,Passed,132,2024-12-06,1.0
Failed,Failed,19,2024-12-09,0.8389261744966443
Failed,Passed,0,2024-12-09,0.8389261744966443
Passed,Failed,24,2024-12-09,0.8389261744966443
Passed,Passed,106,2024-12-09,0.8389261744966443
Failed,Failed,18,2024-12-10,1.0
Failed,Passed,0,2024-12-10,1.0
Passed,Failed,0,2024-12-10,1.0
Passed,Passed,132,2024-12-10,1.0
Failed,Failed,18,2024-12-11,1.0
Failed,Passed,0,2024-12-11,1.0
Passed,Failed,0,2024-12-11,1.0
Passed,Passed,132,2024-12-11,1.0
Failed,Failed,36,2024-12-13,1.0
Failed,Passed,0,2024-12-13,1.0
Passed,Failed,0,2024-12-13,1.0
Passed,Passed,264,2024-12-13,1.0
Failed,Failed,38,2024-12-16,1.0
Failed,Passed,0,2024-12-16,1.0
Passed,Failed,0,2024-12-16,1.0
Passed,Passed,260,2024-12-16,1.0
Failed,Failed,36,2024-12-17,0.9933333333333333
Failed,Passed,0,2024-12-17,0.9933333333333333
Passed,Failed,2,2024-12-17,0.9933333333333333
Passed,Passed,262,2024-12-17,0.9933333333333333
Failed,Failed,20,2024-12-18,0.9395973154362416
Failed,Passed,0,2024-12-18,0.9395973154362416
Passed,Failed,9,2024-12-18,0.9395973154362416
Passed,Passed,120,2024-12-18,0.9395973154362416
Failed,Failed,18,2024-12-20,1.0
Failed,Passed,0,2024-12-20,1.0
Passed,Failed,0,2024-12-20,1.0
Passed,Passed,132,2024-12-20,1.0
Failed,Failed,19,2024-12-23,0.912751677852349
Failed,Passed,0,2024-12-23,0.912751677852349
Passed,Failed,13,2024-12-23,0.912751677852349
Passed,Passed,117,2024-12-23,0.912751677852349
Failed,Failed,18,2024-12-24,1.0
Failed,Passed,0,2024-12-24,1.0
Passed,Failed,0,2024-12-24,1.0
Passed,Passed,132,2024-12-24,1.0
Failed,Failed,18,2024-12-25,1.0
Failed,Passed,0,2024-12-25,1.0
Passed,Failed,0,2024-12-25,1.0
Passed,Passed,132,2024-12-25,1.0
Failed,Failed,18,2024-12-27,1.0
Failed,Passed,0,2024-12-27,1.0
Passed,Failed,0,2024-12-27,1.0
Passed,Passed,132,2024-12-27,1.0
Failed,Failed,19,2024-12-30,1.0
Failed,Passed,0,2024-12-30,1.0
Passed,Failed,0,2024-12-30,1.0
Passed,Passed,130,2024-12-30,1.0
Failed,Failed,19,2024-12-31,0.9533333333333334
Failed,Passed,0,2024-12-31,0.9533333333333334
Passed,Failed,7,2024-12-31,0.9533333333333334
Passed,Passed,124,2024-12-31,0.9533333333333334
Failed,Failed,18,2025-01-01,1.0
Failed,Passed,0,2025-01-01,1.0
Passed,Failed,0,2025-01-01,1.0
Passed,Passed,132,2025-01-01,1.0
Failed,Failed,19,2025-01-03,1.0
Failed,Passed,0,2025-01-03,1.0
Passed,Failed,0,2025-01-03,1.0
Passed,Passed,131,2025-01-03,1.0
Failed,Failed,19,2025-01-06,1.0
Failed,Passed,0,2025-01-06,1.0
Passed,Failed,0,2025-01-06,1.0
Passed,Passed,130,2025-01-06,1.0
Failed,Failed,18,2025-01-07,1.0
Failed,Passed,0,2025-01-07,1.0
Passed,Failed,0,2025-01-07,1.0
Passed,Passed,132,2025-01-07,1.0
Failed,Failed,18,2025-01-08,1.0
Failed,Passed,0,2025-01-08,1.0
Passed,Failed,0,2025-01-08,1.0
Passed,Passed,132,2025-01-08,1.0
